      f V1 V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20
147 168  1  1  1  2  2  2  2  2  2   3   3  0  0  0  0  0  0  0  0  0
148 169  1  1  1  1  1  2 0 0 0  0  0  0  0  0  0  0  0  0  0  0
149 170  1  1  2  2  2  2 0 0 0  0  0  0  0  0  0  0  0  0  0  0
150 171  1  1  1  1  2  2  2  2  2   2   2   2   2   3   3   3   3   3  0  0
151 172  1  1  1  1  1  2  2 0 0  0  0  0  0  0  0  0  0  0  0  0
152 173  1  1  2  2  2  2  2  2  2   2   2   2   3   3   3   3   3   3   3   4
153 174  1  1  1  1  2  2  2  2  2   2   2   2   3   3   3   3   3   3   3   3
154 175  1  2  2  2  2  2  2  2  2   2   2   3   3   3   3   3   3   3   3   4
155 176  1  1  2  2  2  2  2  2  2   2   2   3   3   3   3   3   3   3   3   3
156 177  1  1  1  1  2 0 0 0 0  0  0  0  0  0  0  0  0  0  0  0
157 178  1  1  1  1  2  2  2  2  2   2   2   2   3   3   3   3   3   3   3   3
158 179  1  2  2  2  2 0 0 0 0  0  0  0  0  0  0  0  0  0  0  0
159 180  1  1  1  1  2  2  2  2  2  0  0  0  0  0  0  0  0  0  0  0
